Harry's GPS LapTimer
INDEX,LAPINDEX,DATE,TIME,TIME_LAP,LATITUDE,LONGITUDE,SPEED_KPH,SPEED_MPH,HEIGHT_M,HEIGHT_FT,HEADING_DEG,GPSDIFFERENTIAL[UNKNOWN/2D3D/DGPS/INVALID],GPSFIX[NOFIX/2D/3D/UNKNOWN],SATELLITES,HDOP,ACCURACY_M,DISTANCE_KM,DISTANCE_MILE,ACCELERATIONSOURCE[CALCULATED/MEASURED/UNDEFINED],LATERALG,LINEALG,LEAN,RPM,MAF,WHEEL_SPEED_KPH,WHEEL_SPEED_MPH,THROTTLE,GEAR,FUEL,COOLANT_CELSIUS,OIL_CELSIUS,IAT_CELSIUS,MAP
57358,381,14-AUG-16,16:57:02.65,0.000000,34.874742,-118.258734,102.600000,63.752684,740.000000,2427.821526,288.1,2,3,11,0.700000,4.9,0.000000,0.000000,1,0.15,0.34,8.500000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57359,381,14-AUG-16,16:57:03.00,0.350000,34.874770,-118.258841,106.700000,66.300306,740.000000,2427.821526,287.8,2,2,11,0.700000,4.9,0.010200,0.006338,1,0.19,0.46,10.800000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57360,381,14-AUG-16,16:57:04.00,1.350000,34.874853,-118.259151,111.100000,69.034339,740.000000,2427.821526,287.6,2,2,11,0.700000,4.9,0.039800,0.024731,1,0.12,0.41,6.800000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57361,381,14-AUG-16,16:57:05.00,2.350000,34.874939,-118.259474,116.100000,72.141195,740.000000,2427.821526,287.6,2,2,11,0.700000,4.9,0.070800,0.043993,1,0.11,0.39,6.300000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57362,381,14-AUG-16,16:57:06.00,3.350000,34.875028,-118.259814,120.800000,75.061640,741.000000,2431.102366,287.6,2,2,11,0.700000,4.9,0.103300,0.064188,1,0.23,0.39,13.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57363,381,14-AUG-16,16:57:07.00,4.350000,34.875119,-118.260166,124.600000,77.422850,741.000000,2431.102366,286.6,2,2,11,0.700000,4.9,0.136900,0.085066,1,0.20,0.46,11.300000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57364,381,14-AUG-16,16:57:08.00,5.350000,34.875209,-118.260528,127.400000,79.162690,742.000000,2434.383206,286.7,2,2,11,0.700000,4.9,0.171300,0.106441,1,0.25,0.46,14.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57365,381,14-AUG-16,16:57:09.00,6.350000,34.875300,-118.260895,126.900000,78.852004,743.000000,2437.664046,291.4,2,2,11,0.700000,4.9,0.206200,0.128127,1,0.51,0.29,27.000000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57366,381,14-AUG-16,16:57:10.00,7.350000,34.875418,-118.261253,127.400000,79.162690,745.000000,2444.225725,301.4,2,2,11,0.700000,4.9,0.241300,0.149937,1,0.79,0.17,38.300000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
57367,381,14-AUG-16,16:57:11.00,8.350000,34.875588,-118.261584,126.900000,78.852004,747.000000,2450.787405,313.8,2,2,11,0.700000,4.9,0.276900,0.172058,1,0.94,0.18,43.200000,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
